ix,iy,xmin,xmax,ymin,ymax,count,x_center,y_center
0,0,5.10645,5.602878333333333,35.007,35.45839333333333,0,5.354664166666666,35.23269666666667
1,0,5.602878333333333,6.099306666666666,35.007,35.45839333333333,0,5.8510925,35.23269666666667
2,0,6.099306666666666,6.5957349999999995,35.007,35.45839333333333,0,6.347520833333332,35.23269666666667
3,0,6.5957349999999995,7.092163333333334,35.007,35.45839333333333,0,6.8439491666666665,35.23269666666667
4,0,7.092163333333334,7.588591666666667,35.007,35.45839333333333,0,7.340377500000001,35.23269666666667
5,0,7.588591666666667,8.08502,35.007,35.45839333333333,0,7.836805833333333,35.23269666666667
6,0,8.08502,8.581448333333334,35.007,35.45839333333333,0,8.333234166666667,35.23269666666667
7,0,8.581448333333334,9.077876666666667,35.007,35.45839333333333,0,8.829662500000001,35.23269666666667
8,0,9.077876666666667,9.574305,35.007,35.45839333333333,0,9.326090833333334,35.23269666666667
9,0,9.574305,10.070733333333333,35.007,35.45839333333333,0,9.822519166666666,35.23269666666667
10,0,10.070733333333333,10.567161666666667,35.007,35.45839333333333,0,10.3189475,35.23269666666667
11,0,10.567161666666667,11.063590000000001,35.007,35.45839333333333,0,10.815375833333334,35.23269666666667
12,0,11.063590000000001,11.560018333333334,35.007,35.45839333333333,0,11.311804166666668,35.23269666666667
13,0,11.560018333333334,12.056446666666668,35.007,35.45839333333333,2,11.8082325,35.23269666666667
14,0,12.056446666666668,12.552875,35.007,35.45839333333333,0,12.304660833333333,35.23269666666667
15,0,12.552875,13.049303333333334,35.007,35.45839333333333,4,12.801089166666667,35.23269666666667
16,0,13.049303333333334,13.545731666666669,35.007,35.45839333333333,3,13.297517500000001,35.23269666666667
17,0,13.545731666666669,14.042160000000003,35.007,35.45839333333333,2,13.793945833333336,35.23269666666667
18,0,14.042160000000003,14.538588333333333,35.007,35.45839333333333,4,14.290374166666668,35.23269666666667
19,0,14.538588333333333,15.035016666666667,35.007,35.45839333333333,2,14.7868025,35.23269666666667
20,0,15.035016666666667,15.531445000000001,35.007,35.45839333333333,4,15.283230833333334,35.23269666666667
21,0,15.531445000000001,16.027873333333336,35.007,35.45839333333333,2,15.779659166666669,35.23269666666667
22,0,16.027873333333336,16.52430166666667,35.007,35.45839333333333,2,16.276087500000003,35.23269666666667
23,0,16.52430166666667,17.02073,35.007,35.45839333333333,0,16.772515833333337,35.23269666666667
24,0,17.02073,17.517158333333334,35.007,35.45839333333333,0,17.268944166666667,35.23269666666667
25,0,17.517158333333334,18.01358666666667,35.007,35.45839333333333,0,17.7653725,35.23269666666667
26,0,18.01358666666667,18.510015000000003,35.007,35.45839333333333,1,18.261800833333336,35.23269666666667
27,0,18.510015000000003,19.006443333333337,35.007,35.45839333333333,0,18.75822916666667,35.23269666666667
28,0,19.006443333333337,19.502871666666667,35.007,35.45839333333333,0,19.2546575,35.23269666666667
29,0,19.502871666666667,19.9993,35.007,35.45839333333333,0,19.751085833333335,35.23269666666667
0,1,5.10645,5.602878333333333,35.45839333333333,35.90978666666666,0,5.354664166666666,35.68409
1,1,5.602878333333333,6.099306666666666,35.45839333333333,35.90978666666666,1,5.8510925,35.68409
2,1,6.099306666666666,6.5957349999999995,35.45839333333333,35.90978666666666,0,6.347520833333332,35.68409
3,1,6.5957349999999995,7.092163333333334,35.45839333333333,35.90978666666666,0,6.8439491666666665,35.68409
4,1,7.092163333333334,7.588591666666667,35.45839333333333,35.90978666666666,0,7.340377500000001,35.68409
5,1,7.588591666666667,8.08502,35.45839333333333,35.90978666666666,0,7.836805833333333,35.68409
6,1,8.08502,8.581448333333334,35.45839333333333,35.90978666666666,0,8.333234166666667,35.68409
7,1,8.581448333333334,9.077876666666667,35.45839333333333,35.90978666666666,0,8.829662500000001,35.68409
8,1,9.077876666666667,9.574305,35.45839333333333,35.90978666666666,0,9.326090833333334,35.68409
9,1,9.574305,10.070733333333333,35.45839333333333,35.90978666666666,0,9.822519166666666,35.68409
10,1,10.070733333333333,10.567161666666667,35.45839333333333,35.90978666666666,0,10.3189475,35.68409
11,1,10.567161666666667,11.063590000000001,35.45839333333333,35.90978666666666,0,10.815375833333334,35.68409
12,1,11.063590000000001,11.560018333333334,35.45839333333333,35.90978666666666,0,11.311804166666668,35.68409
13,1,11.560018333333334,12.056446666666668,35.45839333333333,35.90978666666666,0,11.8082325,35.68409
14,1,12.056446666666668,12.552875,35.45839333333333,35.90978666666666,2,12.304660833333333,35.68409
15,1,12.552875,13.049303333333334,35.45839333333333,35.90978666666666,6,12.801089166666667,35.68409
16,1,13.049303333333334,13.545731666666669,35.45839333333333,35.90978666666666,2,13.297517500000001,35.68409
17,1,13.545731666666669,14.042160000000003,35.45839333333333,35.90978666666666,0,13.793945833333336,35.68409
18,1,14.042160000000003,14.538588333333333,35.45839333333333,35.90978666666666,10,14.290374166666668,35.68409
19,1,14.538588333333333,15.035016666666667,35.45839333333333,35.90978666666666,9,14.7868025,35.68409
20,1,15.035016666666667,15.531445000000001,35.45839333333333,35.90978666666666,7,15.283230833333334,35.68409
21,1,15.531445000000001,16.027873333333336,35.45839333333333,35.90978666666666,0,15.779659166666669,35.68409
22,1,16.027873333333336,16.52430166666667,35.45839333333333,35.90978666666666,0,16.276087500000003,35.68409
23,1,16.52430166666667,17.02073,35.45839333333333,35.90978666666666,2,16.772515833333337,35.68409
24,1,17.02073,17.517158333333334,35.45839333333333,35.90978666666666,1,17.268944166666667,35.68409
25,1,17.517158333333334,18.01358666666667,35.45839333333333,35.90978666666666,1,17.7653725,35.68409
26,1,18.01358666666667,18.510015000000003,35.45839333333333,35.90978666666666,0,18.261800833333336,35.68409
27,1,18.510015000000003,19.006443333333337,35.45839333333333,35.90978666666666,0,18.75822916666667,35.68409
28,1,19.006443333333337,19.502871666666667,35.45839333333333,35.90978666666666,0,19.2546575,35.68409
29,1,19.502871666666667,19.9993,35.45839333333333,35.90978666666666,0,19.751085833333335,35.68409
0,2,5.10645,5.602878333333333,35.90978666666666,36.36118,0,5.354664166666666,36.135483333333326
1,2,5.602878333333333,6.099306666666666,35.90978666666666,36.36118,0,5.8510925,36.135483333333326
2,2,6.099306666666666,6.5957349999999995,35.90978666666666,36.36118,0,6.347520833333332,36.135483333333326
3,2,6.5957349999999995,7.092163333333334,35.90978666666666,36.36118,0,6.8439491666666665,36.135483333333326
4,2,7.092163333333334,7.588591666666667,35.90978666666666,36.36118,0,7.340377500000001,36.135483333333326
5,2,7.588591666666667,8.08502,35.90978666666666,36.36118,0,7.836805833333333,36.135483333333326
6,2,8.08502,8.581448333333334,35.90978666666666,36.36118,0,8.333234166666667,36.135483333333326
7,2,8.581448333333334,9.077876666666667,35.90978666666666,36.36118,0,8.829662500000001,36.135483333333326
8,2,9.077876666666667,9.574305,35.90978666666666,36.36118,0,9.326090833333334,36.135483333333326
9,2,9.574305,10.070733333333333,35.90978666666666,36.36118,0,9.822519166666666,36.135483333333326
10,2,10.070733333333333,10.567161666666667,35.90978666666666,36.36118,0,10.3189475,36.135483333333326
11,2,10.567161666666667,11.063590000000001,35.90978666666666,36.36118,0,10.815375833333334,36.135483333333326
12,2,11.063590000000001,11.560018333333334,35.90978666666666,36.36118,1,11.311804166666668,36.135483333333326
