xmin,xmax,ymin,ymax,count,x_center,y_center
-124.8753333,-122.13691664999999,31.0935,33.605916675,1,-123.50612497499999,32.349708337500005
-122.13691664999999,-119.3985,31.0935,33.605916675,7,-120.767708325,32.349708337500005
-122.13691664999999,-120.767708325,33.605916675,34.8621250125,1,-121.4523124875,34.23402084375
-120.767708325,-119.3985,33.605916675,34.8621250125,7,-120.0831041625,34.23402084375
-122.13691664999999,-120.767708325,34.8621250125,36.11833335,10,-121.4523124875,35.49022918125
-120.767708325,-119.3985,34.8621250125,36.11833335,12,-120.0831041625,35.49022918125
-119.3985,-118.029291675,31.0935,32.349708337500005,1,-118.71389583749999,31.72160416875
-118.029291675,-116.66008335000001,31.0935,32.349708337500005,14,-117.3446875125,31.72160416875
-119.3985,-118.029291675,32.349708337500005,33.605916675,14,-118.71389583749999,32.977812506250004
-118.029291675,-116.66008335000001,32.349708337500005,33.605916675,11,-117.3446875125,32.977812506250004
-116.66008335000001,-115.97547918750001,31.0935,31.72160416875,9,-116.31778126875001,31.407552084375
-115.97547918750001,-115.80432814687501,31.0935,31.2505260421875,6,-115.88990366718751,31.172013021093747
-115.80432814687501,-115.7187526265625,31.0935,31.172013021093747,7,-115.76154038671876,31.132756510546873
-115.7187526265625,-115.63317710625,31.0935,31.172013021093747,1,-115.67596486640625,31.132756510546873
-115.80432814687501,-115.7187526265625,31.172013021093747,31.2505260421875,5,-115.76154038671876,31.211269531640625
-115.7187526265625,-115.63317710625,31.172013021093747,31.2505260421875,20,-115.67596486640625,31.211269531640625
-115.97547918750001,-115.80432814687501,31.2505260421875,31.407552084375,4,-115.88990366718751,31.32903906328125
-115.80432814687501,-115.63317710625,31.2505260421875,31.407552084375,10,-115.7187526265625,31.32903906328125
-115.63317710625,-115.290875025,31.0935,31.407552084375,23,-115.462026065625,31.2505260421875
-115.97547918750001,-115.63317710625,31.407552084375,31.72160416875,6,-115.80432814687501,31.564578126562502
-115.63317710625,-115.290875025,31.407552084375,31.72160416875,5,-115.462026065625,31.564578126562502
-116.66008335000001,-115.97547918750001,31.72160416875,32.349708337500005,8,-116.31778126875001,32.035656253125005
-115.97547918750001,-115.63317710625,31.72160416875,32.035656253125005,3,-115.80432814687501,31.8786302109375
-115.97547918750001,-115.63317710625,32.035656253125005,32.349708337500005,5,-115.80432814687501,32.19268229531251
-115.462026065625,-115.290875025,32.035656253125005,32.19268229531251,17,-115.37645054531251,32.11416927421875
-115.63317710625,-115.462026065625,32.19268229531251,32.349708337500005,1,-115.5476015859375,32.271195316406256
-115.462026065625,-115.37645054531251,32.19268229531251,32.271195316406256,4,-115.41923830546875,32.231938805859386
-115.37645054531251,-115.33366278515626,32.19268229531251,32.231938805859386,4,-115.35505666523439,32.21231055058595
-115.33366278515626,-115.290875025,32.19268229531251,32.231938805859386,11,-115.31226890507813,32.21231055058595
-115.37645054531251,-115.33366278515626,32.231938805859386,32.271195316406256,6,-115.35505666523439,32.25156706113282
-115.33366278515626,-115.290875025,32.231938805859386,32.271195316406256,9,-115.31226890507813,32.25156706113282
-115.462026065625,-115.37645054531251,32.271195316406256,32.349708337500005,12,-115.41923830546875,32.31045182695313
-115.37645054531251,-115.33366278515626,32.271195316406256,32.31045182695313,16,-115.35505666523439,32.290823571679695
-115.33366278515626,-115.290875025,32.271195316406256,32.31045182695313,7,-115.31226890507813,32.290823571679695
-115.37645054531251,-115.33366278515626,32.31045182695313,32.349708337500005,5,-115.35505666523439,32.330080082226566
-115.33366278515626,-115.290875025,32.31045182695313,32.349708337500005,8,-115.31226890507813,32.330080082226566
-115.290875025,-114.6062708625,31.0935,31.72160416875,2,-114.94857294375001,31.407552084375
-114.6062708625,-113.9216667,31.0935,31.72160416875,15,-114.26396878125,31.407552084375
-115.11972398437501,-114.94857294375001,31.72160416875,31.8786302109375,5,-115.03414846406251,31.800117189843753
-115.290875025,-115.11972398437501,31.8786302109375,32.035656253125005,8,-115.2052995046875,31.957143232031253
-115.11972398437501,-115.03414846406251,31.8786302109375,31.957143232031253,2,-115.07693622421877,31.91788672148438
-115.03414846406251,-114.94857294375001,31.8786302109375,31.957143232031253,5,-114.99136070390625,31.91788672148438
-115.11972398437501,-115.03414846406251,31.957143232031253,32.035656253125005,13,-115.07693622421877,31.996399742578127
-115.03414846406251,-114.94857294375001,31.957143232031253,32.035656253125005,6,-114.99136070390625,31.996399742578127
-114.94857294375001,-114.6062708625,31.72160416875,32.035656253125005,10,-114.777421903125,31.8786302109375
-115.290875025,-115.2052995046875,32.035656253125005,32.11416927421875,13,-115.24808726484375,32.074912763671875
-115.2052995046875,-115.11972398437501,32.035656253125005,32.11416927421875,19,-115.16251174453126,32.074912763671875
-115.290875025,-115.24808726484375,32.11416927421875,32.15342578476563,6,-115.26948114492188,32.13379752949219
-115.24808726484375,-115.2052995046875,32.11416927421875,32.15342578476563,9,-115.22669338476562,32.13379752949219
-115.290875025,-115.24808726484375,32.15342578476563,32.19268229531251,15,-115.26948114492188,32.17305404003907
-115.24808726484375,-115.2052995046875,32.15342578476563,32.19268229531251,11,-115.22669338476562,32.17305404003907
-115.2052995046875,-115.11972398437501,32.11416927421875,32.19268229531251,7,-115.16251174453126,32.15342578476563
-115.11972398437501,-115.03414846406251,32.035656253125005,32.11416927421875,20,-115.07693622421877,32.074912763671875
-115.03414846406251,-114.94857294375001,32.035656253125005,32.11416927421875,5,-114.99136070390625,32.074912763671875
-115.11972398437501,-115.03414846406251,32.11416927421875,32.19268229531251,13,-115.07693622421877,32.15342578476563
-115.03414846406251,-114.94857294375001,32.11416927421875,32.19268229531251,3,-114.99136070390625,32.15342578476563
-115.290875025,-115.24808726484375,32.19268229531251,32.231938805859386,19,-115.26948114492188,32.21231055058595
-115.24808726484375,-115.2052995046875,32.19268229531251,32.231938805859386,8,-115.22669338476562,32.21231055058595
-115.290875025,-115.24808726484375,32.231938805859386,32.271195316406256,4,-115.26948114492188,32.25156706113282
-115.2052995046875,-115.11972398437501,32.19268229531251,32.271195316406256,3,-115.16251174453126,32.231938805859386
-115.290875025,-115.2052995046875,32.271195316406256,32.349708337500005,7,-115.24808726484375,32.31045182695313
-115.2052995046875,-115.11972398437501,32.271195316406256,32.349708337500005,2,-115.16251174453126,32.31045182695313
-115.11972398437501,-114.94857294375001,32.19268229531251,32.349708337500005,3,-115.03414846406251,32.271195316406256
-116.66008335000001,-115.97547918750001,32.349708337500005,32.977812506250004,15,-116.31778126875001,32.663760421875004
-115.80432814687501,-115.63317710625,32.349708337500005,32.5067343796875,5,-115.7187526265625,32.42822135859375
